delivery_date,curve_proxy_7d,curve_proxy_30d,curve_proxy_90d,fv_week_base,fv_month_base,fv_quarter_base,fv_week_peak,fv_month_peak,signal_week_base,signal_month_base,signal_quarter_base,signal_week_peak,signal_month_peak,signal_label_week_base,signal_label_month_base,week_confidence,month_confidence,week_position_size,month_position_size,week_signal_weighted,month_signal_weighted,fv_week_base_p10,fv_week_base_p90,fv_month_base_p10,fv_month_base_p90,inv_gas_spike,inv_wind_revision,inv_residual_load_swing,inv_negative_price_regime,inv_high_error_regime,any_invalidation,avg_residual_load_mw,avg_res_penetration,gas_price,spark_spread_actual,spark_spread_premium,is_thermal_regime,is_res_regime,peak_base_premium_pred,n_negative_hours_pred,base_actual,base_pred
2024-11-01,,,,131.44627610109907,114.24991839460606,113.40888322443209,149.20503884822347,134.20083190478493,,,,,,NO_DATA,NO_DATA,0.4297297370645886,0.44724548763992666,0.0,0.0,0.0,0.0,92.23074077795752,184.1336460639502,73.54635562879918,166.68568093292166,False,False,False,False,False,False,24772.181145833336,0.48459834200909163,40.588,58.14581666666666,,True,False,3.490826304228449,0,76.41041666666666,75.58026326145547
2024-11-02,,,,135.32267995611724,114.42118092904659,113.86040119305154,155.33823851405197,134.69001852615557,,,,,,NO_DATA,NO_DATA,0.36631074651709516,0.44142546422044815,0.0,0.0,0.0,0.0,93.79812950431844,195.92143353882466,73.02417944939207,167.14418069993053,False,False,False,False,False,False,38640.86822916667,0.18554998454406668,39.175,89.35666666666665,,True,False,10.028181612955194,0,106.98541666666665,103.71591342453824
2024-11-03,92.14958333333333,,,140.62326642162037,115.70889243406918,114.4465749887677,163.99066148258916,136.60649392957302,48.473683088287046,,,71.84107814925584,,STRONG_BUY,NO_DATA,0.30700827288365795,0.43553485576694995,0.0,0.0,0.0,0.0,97.42801265942207,209.10831093294954,73.77994566402548,168.892516463471,False,False,False,False,False,False,33076.917708333334,0.24861438713695602,39.175,75.42416666666666,,True,False,2.3953034505062902,0,93.05291666666666,93.27278771786905
2024-11-04,100.68062499999999,,,142.99344842184505,116.68496910272349,114.63799774330876,168.73600790361417,137.98723906486958,42.31282342184505,,,68.05538290361417,,STRONG_BUY,NO_DATA,0.26370039697163894,0.4337048182812254,0.0,0.0,0.0,0.0,97.94833068013429,216.60798571968445,74.52882932395288,169.94976206869285,False,False,False,False,False,False,47308.31947916667,0.1558202753252921,39.175,108.645,,True,False,14.10215114848289,0,126.27374999999999,126.54179557111384
2024-11-05,113.53999999999999,,,146.5456807796439,115.85890924056275,114.99491206898439,175.16631850590278,137.04268528929455,33.00568077964391,,,61.62631850590279,,STRONG_BUY,NO_DATA,0.2085305210177425,0.4372105548865597,0.0,0.0,0.0,0.0,98.68085241909694,226.23150566418596,73.79576009112819,168.62597501301283,False,False,False,False,False,False,49115.71104166668,0.14579525143186778,40.301,146.84205,,True,False,17.496506721668453,0,164.9775,137.01413609243434
2024-11-06,133.15374999999997,,,148.05319615943426,113.94662048158952,114.976822431865,179.28395604932103,135.18873628541692,14.89944615943429,,,46.13020604932106,,STRONG_BUY,NO_DATA,0.17078445781421658,0.4372042093608308,0.0,0.0,0.0,0.0,98.20354848551487,231.8372348062837,71.07817985448848,165.90946399963929,False,False,False,False,False,False,54979.709791666675,0.04726967211546291,40.492,213.0011,,True,False,23.407883481027767,0,231.2225,154.38663648090844
2024-11-07,136.87559523809523,,,145.6863464105814,111.72582342799647,114.89251807430786,177.72718026297545,132.2496567278316,8.810751172486164,,,40.85158502488022,,STRONG_BUY,NO_DATA,0.16572255818353088,0.45622955949499533,0.0,0.0,0.0,0.0,95.57801581786785,230.02746145936914,70.19992216129212,161.82542827017704,False,False,False,False,False,False,52632.75041666667,0.06543888948022926,40.388,141.03206666666668,,True,False,28.938242227459227,0,159.20666666666668,159.51024177464967
2024-11-08,142.19119047619049,,,143.22769647944307,110.070364946386,114.98320143811537,174.24647195975734,130.05055946064596,1.0365060032525832,,,32.05528148356686,,HOLD,NO_DATA,0.21322492920128666,0.4746899189587681,0.0,0.0,0.0,0.0,95.38655666737301,222.18067432099474,69.5671663474554,158.08209554221224,False,False,False,False,False,False,43539.21010416667,0.22149949135195535,41.276,95.04538333333332,,True,False,27.943070587770904,0,113.61958333333332,145.68242164618
2024-11-09,143.26035714285715,,,136.6845034462071,108.97519136648006,114.87075689018768,166.17349009167668,128.70805521252817,-6.575853696650057,,,22.913132948819538,,SELL,NO_DATA,0.2746473679743373,0.4854996829551744,0.0,0.0,-0.0,0.0,91.96146736805663,208.85694407915793,68.37500384607463,155.06848409232208,False,False,False,False,False,False,38976.863333333335,0.17571537001950296,42.409,95.38553333333333,,True,False,25.825752288627342,0,114.46958333333333,130.8507404096655
2024-11-10,146.3047023809524,130.05816666666666,,123.60353386754271,109.20254542320781,114.6373706397952,151.52607139773696,128.91119514310827,-22.701168513409684,-20.855621243458856,,5.221369016784564,-1.146971523558392,STRONG_SELL,STRONG_SELL,0.30822549436914315,0.49017786349918335,0.0,0.0,-0.0,-0.0,80.09585913951629,191.579993947818,68.05888877454397,153.96409399132224,False,False,False,False,False,False,41290.956458333334,0.08679606083372159,42.409,95.27928333333334,-16.53642333333333,True,False,25.85815897174487,0,114.36333333333334,130.37689297639102
