delivery_date,base_pred,peak_pred,offpeak_pred,base_actual,peak_actual,offpeak_actual,base_p10,base_p25,base_p75,base_p90,intraday_spread_pred,peak_base_premium_pred,peak_base_premium_actual,avg_residual_load_mw,avg_res_penetration,avg_wind_mw,avg_solar_mw,gas_price,min_hour_pred,max_hour_pred,n_negative_hours_pred
2024-11-01,75.58026326145547,79.07108956568392,72.08943695722702,76.41041666666666,79.20083333333334,73.61999999999999,58.511053732923244,63.408095391901135,83.40639058480724,95.50980911129471,66.15213949978937,3.490826304228449,2.7904166666666725,24772.181145833336,0.48459834200909163,20011.343333333334,3380.894375,40.588,11,17,0
2024-11-02,103.71591342453824,113.74409503749344,93.68773181158308,106.98541666666665,117.085,96.88583333333332,80.11769893898226,89.42005695087651,109.18792485901876,130.721475088442,85.31672483681055,10.028181612955194,10.099583333333342,38640.86822916667,0.18554998454406668,5327.632604166666,3321.0471875000003,39.175,2,16,0
2024-11-03,93.27278771786905,95.66809116837534,90.87748426736272,93.05291666666666,92.93083333333334,93.175,68.15305546084828,80.6885086701941,102.98425264801527,118.70601613744344,75.7610789426034,2.3953034505062902,-0.12208333333332178,33076.917708333334,0.24861438713695602,6410.3909375,5031.959895833334,39.175,11,16,0
2024-11-04,126.54179557111384,140.64394671959673,112.43964442263093,126.27374999999999,145.23,107.31749999999998,92.30058510601681,100.17998975759599,152.57816150600888,169.53899673397328,108.20415724980607,14.10215114848289,18.956249999999997,47308.31947916667,0.1558202753252921,4663.55375,4344.932083333333,39.175,2,16,0
2024-11-05,137.01413609243434,154.5106428141028,119.51762937076585,164.9775,216.63416666666663,113.32083333333333,95.6796492470617,103.57037166617197,155.04163894846982,190.29875349693694,162.612112818875,17.496506721668453,51.65666666666664,49115.71104166668,0.14579525143186778,3864.8684375,4812.849895833333,40.301,2,16,0
2024-11-06,154.38663648090844,177.7945199619362,130.9787529998807,231.2225,322.4158333333333,140.02916666666667,105.7320667782553,121.01017414010799,170.72746105124546,219.12432347944065,166.48585424217683,23.407883481027767,91.1933333333333,54979.709791666675,0.04726967211546291,548.7180208333333,2418.5115625,40.492,2,16,0
2024-11-07,159.51024177464967,188.4484840021089,130.57199954719042,159.20666666666668,192.05666666666664,126.35666666666667,103.8595493932998,111.0724492694473,202.75973954764183,232.59504435026616,174.53360531058203,28.938242227459227,32.849999999999966,52632.75041666667,0.06543888948022926,2105.023541666667,1714.6959375,40.388,2,16,0
2024-11-08,145.68242164618,173.6254922339509,117.73935105840913,113.61958333333332,119.71083333333335,107.52833333333331,99.77258052123841,107.2653074461881,160.75322806665943,227.95091316114912,251.66549154590854,27.943070587770904,6.091250000000031,43539.21010416667,0.22149949135195535,10829.560416666667,1927.855104166667,41.276,2,16,0
2024-11-09,130.8507404096655,156.67649269829283,105.02498812103813,114.46958333333333,123.13916666666667,105.8,91.08942002350865,95.85686726537212,129.2703717912225,213.235987412563,241.8143350857522,25.825752288627342,8.669583333333335,38976.863333333335,0.17571537001950296,4806.952083333334,3656.4391666666666,42.409,11,16,0
2024-11-10,130.37689297639102,156.2350519481359,104.5187340046462,114.36333333333334,123.70916666666665,105.0175,93.56223754657381,97.41538936607108,123.89867765526013,211.01415789631753,224.94193265424923,25.85815897174487,9.345833333333303,41290.956458333334,0.08679606083372159,1851.087083333333,2249.0135416666667,42.409,10,16,0
2024-11-11,143.13306957268637,173.86137166677167,112.40476747860102,121.79291666666666,133.40416666666667,110.18166666666667,95.94281125100231,105.62224876792642,151.02879578437248,222.0367202411178,242.27390314624634,30.728302094085308,11.611250000000013,45442.0296875,0.20233515228109852,10449.8653125,1363.3720833333334,42.409,3,16,0
