timestamp_utc,column,old_value,new_value,reason
2021-05-30 02:00:00+00:00,solar_forecast_mw,0.9175,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-05-31 02:00:00+00:00,solar_forecast_mw,1.23,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-01 02:00:00+00:00,solar_forecast_mw,1.1325,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-02 02:00:00+00:00,solar_forecast_mw,1.465,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-03 02:00:00+00:00,solar_forecast_mw,1.66,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-04 02:00:00+00:00,solar_forecast_mw,0.9475,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-05 02:00:00+00:00,solar_forecast_mw,2.29,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-06 02:00:00+00:00,solar_forecast_mw,2.3925,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-07 02:00:00+00:00,solar_forecast_mw,2.9699999999999998,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-08 02:00:00+00:00,solar_forecast_mw,3.2624999999999997,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-09 02:00:00+00:00,solar_forecast_mw,3.99,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-10 02:00:00+00:00,solar_forecast_mw,4.0775,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-11 02:00:00+00:00,solar_forecast_mw,4.2775,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-12 02:00:00+00:00,solar_forecast_mw,2.625,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-13 02:00:00+00:00,solar_forecast_mw,3.93,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-14 02:00:00+00:00,solar_forecast_mw,5.05,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-15 02:00:00+00:00,solar_forecast_mw,3.9250000000000003,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-16 02:00:00+00:00,solar_forecast_mw,5.3775,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-17 02:00:00+00:00,solar_forecast_mw,5.387499999999999,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-18 02:00:00+00:00,solar_forecast_mw,5.51,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-19 02:00:00+00:00,solar_forecast_mw,4.4325,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-20 02:00:00+00:00,solar_forecast_mw,4.949999999999999,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-21 02:00:00+00:00,solar_forecast_mw,2.74,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-22 02:00:00+00:00,solar_forecast_mw,3.2800000000000002,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-23 02:00:00+00:00,solar_forecast_mw,2.61,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-24 02:00:00+00:00,solar_forecast_mw,3.3925,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-25 02:00:00+00:00,solar_forecast_mw,2.13,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-26 02:00:00+00:00,solar_forecast_mw,3.3075,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-27 02:00:00+00:00,solar_forecast_mw,3.3775,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-28 02:00:00+00:00,solar_forecast_mw,3.245,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-29 02:00:00+00:00,solar_forecast_mw,2.5174999999999996,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-06-30 02:00:00+00:00,solar_forecast_mw,1.5775,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-01 02:00:00+00:00,solar_forecast_mw,1.0025,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-02 02:00:00+00:00,solar_forecast_mw,1.275,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-03 02:00:00+00:00,solar_forecast_mw,0.985,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-04 02:00:00+00:00,solar_forecast_mw,1.105,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-05 02:00:00+00:00,solar_forecast_mw,0.835,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-06 02:00:00+00:00,solar_forecast_mw,0.755,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-07 02:00:00+00:00,solar_forecast_mw,0.215,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-08 02:00:00+00:00,solar_forecast_mw,0.415,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-09 02:00:00+00:00,solar_forecast_mw,0.1125,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-10 02:00:00+00:00,solar_forecast_mw,0.0475,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-11 02:00:00+00:00,solar_forecast_mw,0.1125,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-12 02:00:00+00:00,solar_forecast_mw,0.065,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-13 02:00:00+00:00,solar_forecast_mw,0.035,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-14 02:00:00+00:00,solar_forecast_mw,0.0125,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-07-15 02:00:00+00:00,solar_forecast_mw,0.0025,0.0,"Solar > 0 at night (2:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-01 03:00:00+00:00,solar_forecast_mw,48.17,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-02 03:00:00+00:00,solar_forecast_mw,35.9875,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-03 03:00:00+00:00,solar_forecast_mw,37.65,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-04 03:00:00+00:00,solar_forecast_mw,25.592499999999998,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-05 03:00:00+00:00,solar_forecast_mw,25.1725,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-06 03:00:00+00:00,solar_forecast_mw,25.68,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-07 03:00:00+00:00,solar_forecast_mw,23.035,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-08 03:00:00+00:00,solar_forecast_mw,13.227500000000001,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-09 03:00:00+00:00,solar_forecast_mw,10.7125,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-10 03:00:00+00:00,solar_forecast_mw,8.4025,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-11 03:00:00+00:00,solar_forecast_mw,6.5025,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-12 03:00:00+00:00,solar_forecast_mw,5.5675,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-13 03:00:00+00:00,solar_forecast_mw,3.31,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-14 03:00:00+00:00,solar_forecast_mw,2.4175,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-15 03:00:00+00:00,solar_forecast_mw,1.44,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-16 03:00:00+00:00,solar_forecast_mw,0.895,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-17 03:00:00+00:00,solar_forecast_mw,0.3175,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-18 03:00:00+00:00,solar_forecast_mw,0.175,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-19 03:00:00+00:00,solar_forecast_mw,0.0375,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-08-20 03:00:00+00:00,solar_forecast_mw,0.0125,0.0,"Solar > 0 at night (3:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-11 04:00:00+00:00,solar_forecast_mw,31.027499999999996,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-12 04:00:00+00:00,solar_forecast_mw,36.7625,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-13 04:00:00+00:00,solar_forecast_mw,32.4325,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-14 04:00:00+00:00,solar_forecast_mw,36.9725,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-15 04:00:00+00:00,solar_forecast_mw,12.505,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-16 04:00:00+00:00,solar_forecast_mw,5.9675,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-17 04:00:00+00:00,solar_forecast_mw,4.5875,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-18 04:00:00+00:00,solar_forecast_mw,3.565,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-19 04:00:00+00:00,solar_forecast_mw,3.7725,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-20 04:00:00+00:00,solar_forecast_mw,2.24,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-21 04:00:00+00:00,solar_forecast_mw,1.375,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
2021-09-22 04:00:00+00:00,solar_forecast_mw,0.6525,0.0,"Solar > 0 at night (4:00 UTC) but ≤ 50.0 MW → rounding artifact, set to 0"
