delivery_date,base_pred,peak_pred,offpeak_pred,base_p10,base_p90,base_actual,peak_actual,peak_premium,next_7d_base_mean,next_30d_base_mean,next_7d_peak_mean,next_30d_peak_mean,next_7d_base_p10,next_7d_base_p90,next_30d_base_p10,next_30d_base_p90
2024-11-01,75.58026326145547,79.07108956568392,72.08943695722702,58.511053732923244,95.50980911129471,76.41041666666666,79.20083333333334,3.490826304228449,75.58026326145547,75.58026326145547,79.07108956568392,79.07108956568392,58.511053732923244,95.50980911129471,58.511053732923244,95.50980911129471
2024-11-02,103.71591342453824,113.74409503749344,93.68773181158308,80.11769893898226,130.721475088442,106.98541666666665,117.085,10.028181612955194,89.64808834299686,89.64808834299686,96.40759230158868,96.40759230158868,69.31437633595274,113.11564209986835,69.31437633595274,113.11564209986835
2024-11-03,93.27278771786905,95.66809116837534,90.87748426736272,68.15305546084828,118.70601613744344,93.05291666666666,92.93083333333334,2.3953034505062902,90.85632146795426,90.85632146795426,96.1610919238509,96.1610919238509,68.9272693775846,114.97910011239338,68.9272693775846,114.97910011239338
2024-11-04,126.54179557111384,140.64394671959673,112.43964442263093,92.30058510601681,169.53899673397328,126.27374999999999,145.23,14.10215114848289,99.77768999374415,99.77768999374415,107.28180562278736,107.28180562278736,74.77059830969264,128.61907426778836,74.77059830969264,128.61907426778836
2024-11-05,137.01413609243434,154.5106428141028,119.51762937076585,95.6796492470617,190.29875349693694,164.9775,216.63416666666663,17.496506721668453,107.22497921348217,107.22497921348217,116.72757306105045,116.72757306105045,78.95240849716646,140.95501011361807,78.95240849716646,140.95501011361807
2024-11-06,154.38663648090844,177.7945199619362,130.9787529998807,105.7320667782553,219.12432347944065,231.2225,322.4158333333333,23.407883481027767,115.08525542471989,115.08525542471989,126.90539754453141,126.90539754453141,83.41568487734793,153.98322900792184,83.41568487734793,153.98322900792184
2024-11-07,159.51024177464967,188.4484840021089,130.57199954719042,103.8595493932998,232.59504435026616,159.20666666666668,192.05666666666664,28.938242227459227,121.43168204613843,121.43168204613843,135.69726703847104,135.69726703847104,86.33623695105534,165.21348834254246,86.33623695105534,165.21348834254246
2024-11-08,145.68242164618,173.6254922339509,117.73935105840913,99.77258052123841,227.95091316114912,113.61958333333332,119.71083333333335,27.943070587770904,131.44627610109907,124.46302449614363,149.20503884822347,140.43829518790602,92.23074077795752,184.1336460639502,88.01577989732823,173.05566644486828
2024-11-09,130.8507404096655,156.67649269829283,105.02498812103813,91.08942002350865,213.235987412563,114.46958333333333,123.13916666666667,25.825752288627342,135.32267995611727,125.17277070875717,155.33823851405194,142.24253935572676,93.79812950431842,195.92143353882463,88.35729546690384,177.52014655238992
2024-11-10,130.37689297639102,156.2350519481359,104.5187340046462,93.56223754657381,211.01415789631753,114.36333333333334,123.70916666666665,25.85815897174487,140.6232664216204,125.69318293552055,163.99066148258916,143.6417906149677,97.42801265942207,209.1083109329495,88.87778967487083,180.86954768678268
2024-11-11,143.13306957268637,173.86137166677167,112.40476747860102,95.94281125100231,222.0367202411178,121.79291666666666,133.40416666666667,30.728302094085308,142.99344842184505,127.2786271752629,168.73600790361417,146.38902525604078,97.94833068013429,216.60798571968445,89.52006436361006,184.61201791899495
2024-11-12,161.87976259702646,199.52281703012295,124.23670816393,100.8073014198003,257.66339310844745,166.40791666666667,202.68999999999997,37.643054433096495,146.5456807796439,130.1620551270765,175.16631850590278,150.8168412372143,98.68085241909694,226.23150566418596,90.46066745162591,190.699632518116
